#NIAST85D,#NICMALND,#NICPGECD,#NICSAVGD,#NICSCGTD,#NIDMARKD,#NIDNDPMD,#NIEKATYD,#NIENGPLD,#NILCOGMD,#NILHHUBD,#NILST65D,#NIMCHICD,#NIMMICHD,#NINAGCGD,#NINCOGAD,#NINDOMND,#NINTE3RD,#NINTZ4MF,#NINTZ6ND,#NINTZ6YD,#NINTZN5D,#NIOTH3DELD,#NIOVENTAD,#NIRCHEYD,#NIRNWSUD,#NIROPALD,#NISAGUAD,#NIWELPPD,#NIWWAHAD
3.343,15.771875,17.105,17.240000000000002,18.351499999999998,3.378,2.83575,2.737875,2.8068750000000002,2.91,3.25325,3.288875,3.188625,3.12875,5.2565,2.700375,2.5865,2.6655,2.6130681818181816,3.162125,3.25325,3.9557499999999997,3.114625,3.389125,3.3693750000000002,13.496500000000001,15.8075,2.5509999999999997,2.2995,1.778
2.3446052631578946,6.817763157894737,7.7875000000000005,6.874736842105263,7.562631578947368,2.361842105263158,2.159736842105263,2.0694736842105264,2.1575,2.2167105263157896,2.383815789473684,2.3382894736842106,2.355,2.4169736842105265,10.530131578947367,2.036184210526316,2.0019736842105265,2.021315789473684,2.01925,3.031578947368421,3.843684210526316,3.243289473684211,2.280263157894737,2.3596052631578948,2.341184210526316,6.429342105263157,6.95171052631579,1.956842105263158,1.9592105263157895,1.7584210526315787
2.2858695652173915,6.006847826086957,8.058478260869565,5.264347826086956,9.00663043478261,2.315760869565217,2.139130434782609,2.0457608695652176,2.0975,2.1693478260869563,2.301086956521739,2.2789130434782607,2.305108695652174,2.3685869565217392,2.8743478260869564,2.078804347826087,2.0671739130434785,2.0619565217391305,2.0344565217391306,2.204021739130435,2.21945652173913,2.3483695652173915,2.2715217391304345,2.3257608695652174,2.2882608695652173,4.79,6.075108695652173,1.973695652173913,1.5364130434782608,1.3831521739130435
2.135921052631579,4.0014473684210525,5.718684210526316,3.5964473684210523,7.331052631578947,1.9248684210526315,1.8557894736842104,1.8698684210526317,1.8524999999999998,1.9169736842105263,2.150263157894737,2.134078947368421,2.0078947368421054,2.0486842105263157,1.9110526315789476,1.8267105263157897,1.612236842105263,1.61,1.562,1.706842105263158,1.7286842105263158,2.2131578947368418,1.9384210526315788,1.937236842105263,1.9238157894736843,3.878552631578947,3.867763157894737,1.7674999999999998,1.3332894736842105,1.265657894736842
2.1395454545454546,1.9098863636363637,3.863181818181818,1.9757954545454546,2.325681818181818,1.8854545454545453,1.8886363636363634,1.994090909090909,1.9239772727272728,1.9219318181818181,2.140568181818182,2.132613636363636,1.9789772727272728,2.0251136363636366,1.829090909090909,1.7576136363636363,1.4043181818181818,1.3640909090909092,1.290108695652174,1.4602272727272727,1.4697727272727272,2.181931818181818,1.9118181818181819,1.9004545454545456,1.8451136363636365,1.5623863636363637,1.8924999999999998,1.9254545454545455,1.3611363636363636,1.3236363636363637
2.3208333333333333,2.184047619047619,3.2269047619047617,2.3314285714285714,3.6108333333333333,2.0563095238095235,2.0316666666666667,2.1636904761904763,2.056904761904762,2.0172619047619045,2.1880952380952383,2.280595238095238,2.0767857142857142,2.084047619047619,2.728809523809524,1.524047619047619,1.3291666666666668,1.2897619047619049,1.1979545454545455,1.3983333333333332,1.4235714285714285,2.3404761904761906,2.0391666666666666,2.0497619047619047,1.979285714285714,2.0507142857142857,2.1204761904761904,2.105952380952381,1.963809523809524,1.9640476190476188
2.8075,3.645263157894737,4.7660526315789475,4.518947368421053,5.856973684210526,2.3064473684210527,2.270921052631579,2.35,2.2855263157894736,2.220131578947368,2.5519736842105263,2.776842105263158,2.313684210526316,2.2439473684210527,2.834736842105263,1.7121052631578948,1.4522368421052632,1.4814473684210527,1.1927380952380953,1.687763157894737,1.7247368421052633,2.9973684210526317,2.2723684210526316,2.2698684210526316,2.2526315789473683,3.4386842105263153,3.556578947368421,2.3002631578947366,2.076973684210526,2.0584210526315787
2.802608695652174,3.5692391304347826,5.149130434782609,4.283043478260869,5.998152173913044,2.335108695652174,2.3180434782608694,2.413478260869565,2.3469565217391306,2.279130434782609,2.5869565217391304,2.7706521739130436,2.369891304347826,2.308586956521739,1.4553260869565217,1.336195652173913,1.1634782608695653,1.121195652173913,1.11,1.2530434782608695,1.2711956521739132,2.9032608695652176,2.319130434782609,2.302826086956522,2.2905434782608696,3.422608695652174,3.517608695652174,2.3759782608695654,2.2517391304347827,2.2032608695652174
2.8455,2.44375,3.727875,2.666375,3.96825,2.2195,2.17475,2.396875,2.27825,2.303875,2.6495,2.804125,2.284125,2.247875,1.6634999999999998,1.381,1.274375,1.2658749999999999,1.210595238095238,1.3795,1.4195,2.7798749999999997,2.2405,2.2083749999999998,2.1675,2.2715,2.432125,2.3146250000000004,1.9294999999999998,1.9170000000000003
2.972727272727273,3.2060227272727273,6.176931818181819,3.2010227272727274,7.5275,2.3310227272727273,2.278977272727273,2.44375,2.32625,2.290568181818182,2.981022727272727,2.9693181818181817,2.380909090909091,2.29,1.6318181818181818,1.3902272727272729,1.2794318181818183,1.239431818181818,1.1955681818181818,1.3702272727272726,1.4175000000000002,2.568068181818182,2.3261363636363637,2.3206818181818183,2.2726136363636367,3.025681818181818,3.004431818181818,2.2977272727272724,1.8038636363636364,1.6470454545454545
2.6907894736842106,4.775921052631579,5.423157894736842,4.2725,6.32,2.345131578947368,2.2863157894736843,2.3132894736842107,2.305263157894737,2.3247368421052634,2.7051315789473684,2.6792105263157895,2.3990789473684213,2.3953947368421056,3.4664473684210524,1.9760526315789475,1.9538157894736843,1.9302631578947367,1.964659090909091,2.1789473684210527,2.2189473684210523,3.223157894736842,2.3435526315789477,2.3709210526315787,2.2919736842105265,4.466842105263158,4.6538157894736845,2.221184210526316,1.4823684210526316,1.4444736842105264
2.6550000000000002,3.2692500000000004,4.003625,3.2768749999999995,3.5948749999999996,2.084875,2.030125,2.101,2.078125,2.1935,2.511125,2.6263750000000003,2.14575,2.166875,3.90625,1.923375,1.81025,1.8227499999999999,1.8113095238095238,2.054375,2.1881250000000003,3.405,2.1315,2.094875,2.07075,2.48,3.12225,2.026,1.463125,1.397875
